epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,46253.1,0.49257,0.34358,0.87736,0.99933,0.9967,0.995,0.89544,0.48234,0.30761,0.85973,0.000296988,0.000296988,0.000296988
33,46811.7,0.5049,0.33917,0.88111,0.99729,1,0.995,0.9096,0.44043,0.29115,0.85253,0.000281762,0.000281762,0.000281762
34,47396.6,0.49084,0.33664,0.88238,0.99848,1,0.995,0.89704,0.47281,0.301,0.87583,0.000266535,0.000266535,0.000266535
35,48318.3,0.48626,0.32167,0.87817,0.99695,1,0.995,0.90804,0.43202,0.2933,0.85764,0.000251309,0.000251309,0.000251309
36,48885,0.48322,0.32768,0.87815,0.99199,0.99654,0.9944,0.91527,0.42148,0.28547,0.8554,0.000236083,0.000236083,0.000236083
37,49443.2,0.4776,0.32111,0.88206,0.99746,0.99961,0.99495,0.91462,0.41796,0.28858,0.85612,0.000220857,0.000220857,0.000220857
38,50005.5,0.47813,0.3169,0.88311,0.9968,1,0.995,0.91827,0.41667,0.29194,0.84832,0.000205631,0.000205631,0.000205631
39,50565,0.48426,0.31916,0.8868,0.99681,0.9995,0.9949,0.92041,0.40894,0.278,0.84857,0.000190404,0.000190404,0.000190404
40,51790.3,0.45874,0.31003,0.8728,0.99449,1,0.9949,0.92192,0.40498,0.27951,0.84509,0.000175178,0.000175178,0.000175178
41,52353.3,0.40979,0.2842,0.84403,0.99721,0.99926,0.995,0.91798,0.40735,0.28101,0.85151,0.000159952,0.000159952,0.000159952
42,52906.6,0.40423,0.28192,0.8375,0.99766,1,0.995,0.91289,0.41728,0.27701,0.86012,0.000144726,0.000144726,0.000144726
43,53458.9,0.4,0.27429,0.84167,0.99753,1,0.995,0.91466,0.41356,0.27407,0.84678,0.0001295,0.0001295,0.0001295
44,54014.1,0.40036,0.27245,0.8414,0.99626,1,0.995,0.91746,0.41035,0.27043,0.85288,0.000114273,0.000114273,0.000114273
45,54571.7,0.3932,0.26543,0.84206,0.99918,1,0.995,0.92329,0.40558,0.26023,0.85847,9.90472e-05,9.90472e-05,9.90472e-05
46,55124.6,0.38712,0.26361,0.83763,0.99869,1,0.995,0.92017,0.41146,0.26365,0.85098,8.3821e-05,8.3821e-05,8.3821e-05
47,55678.6,0.37901,0.25526,0.83331,0.99583,1,0.995,0.92207,0.39972,0.2634,0.84994,6.85948e-05,6.85948e-05,6.85948e-05
48,57582.2,0.37257,0.24603,0.83131,0.9968,1,0.99495,0.91969,0.39964,0.25573,0.84573,5.33686e-05,5.33686e-05,5.33686e-05
49,58140.1,0.36792,0.24324,0.83278,0.99703,1,0.99495,0.92584,0.38877,0.25269,0.84423,3.81424e-05,3.81424e-05,3.81424e-05
50,58692.4,0.36353,0.2376,0.83396,0.99731,1,0.995,0.92669,0.38839,0.25101,0.84501,2.29162e-05,2.29162e-05,2.29162e-05
