epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,562.18,0.97096,2.00767,1.05997,0.96194,0.98739,0.9929,0.77935,0.77582,1.39135,0.90073,0.000254142,0.000254142,0.000254142
2,1122.43,0.77592,1.14179,0.95028,0.99999,0.99606,0.995,0.78445,0.76142,1.05477,0.93523,0.000500368,0.000500368,0.000500368
3,3873.68,0.76453,0.96821,0.9484,0.99853,0.9885,0.99487,0.82121,0.64881,0.83794,0.9236,0.000736443,0.000736443,0.000736443
4,7023.87,0.74373,0.8356,0.94293,0.99626,0.98469,0.99422,0.82479,0.61475,0.7152,0.89345,0.000723321,0.000723321,0.000723321
5,8356.81,0.71,0.73489,0.93496,0.99442,1,0.99497,0.81427,0.66391,0.68525,0.90432,0.000708095,0.000708095,0.000708095
6,9713.35,0.70408,0.66488,0.932,0.99806,0.99251,0.995,0.82906,0.59986,0.56961,0.89306,0.000692869,0.000692869,0.000692869
7,10314,0.68966,0.61795,0.92852,0.99853,0.99745,0.995,0.85027,0.60176,0.53914,0.90528,0.000677643,0.000677643,0.000677643
8,10951.9,0.6644,0.5791,0.91974,0.99845,0.99664,0.995,0.8532,0.56806,0.50951,0.91072,0.000662417,0.000662417,0.000662417
9,11597.9,0.65222,0.54595,0.91531,0.98955,0.99745,0.99405,0.85621,0.58083,0.4891,0.88443,0.00064719,0.00064719,0.00064719
10,12209.2,0.63785,0.5262,0.90532,0.98413,0.97924,0.99336,0.85997,0.56933,0.51724,0.92486,0.000631964,0.000631964,0.000631964
11,12774.7,0.63233,0.51164,0.90347,0.99643,0.99587,0.99485,0.87249,0.53185,0.45621,0.87599,0.000616738,0.000616738,0.000616738
12,14378.1,0.62763,0.50059,0.92169,0.99744,0.9946,0.99497,0.86143,0.55208,0.43753,0.87435,0.000601512,0.000601512,0.000601512
13,14969.1,0.61042,0.47368,0.90789,0.9883,0.99677,0.99356,0.85886,0.55579,0.43459,0.88925,0.000586286,0.000586286,0.000586286
14,15592.9,0.60175,0.46325,0.90288,0.99746,0.9995,0.995,0.85618,0.52249,0.38395,0.9348,0.000571059,0.000571059,0.000571059
15,16227.3,0.60102,0.45987,0.91201,0.9988,0.99745,0.995,0.88101,0.48398,0.40049,0.87324,0.000555833,0.000555833,0.000555833
16,17679.5,0.59768,0.45345,0.90036,0.99678,0.99304,0.99492,0.87435,0.53326,0.41529,0.88866,0.000540607,0.000540607,0.000540607
17,19925.8,0.5879,0.42943,0.90167,0.99357,0.99304,0.99487,0.894,0.49108,0.37087,0.86801,0.000525381,0.000525381,0.000525381
18,20510,0.57377,0.42333,0.9026,0.99742,0.99107,0.99485,0.88207,0.52257,0.3596,0.88366,0.000510155,0.000510155,0.000510155
19,21129,0.56898,0.41927,0.90022,0.99535,0.99745,0.99495,0.89834,0.46899,0.35559,0.86296,0.000494928,0.000494928,0.000494928
20,21763.4,0.55493,0.40897,0.89585,0.99909,0.99745,0.995,0.88289,0.493,0.38529,0.8733,0.000479702,0.000479702,0.000479702
21,22402.1,0.5609,0.40738,0.89991,0.99214,0.99685,0.99477,0.89164,0.47291,0.35621,0.86397,0.000464476,0.000464476,0.000464476
22,23048.8,0.55754,0.39736,0.89658,0.99928,0.99709,0.995,0.88071,0.48541,0.36816,0.85651,0.00044925,0.00044925,0.00044925
23,26573.9,0.55193,0.38073,0.89322,0.99696,0.99963,0.995,0.89539,0.47258,0.33079,0.8852,0.000434024,0.000434024,0.000434024
24,27162.1,0.53459,0.37758,0.89269,0.99816,0.99971,0.995,0.89918,0.46233,0.34105,0.86743,0.000418797,0.000418797,0.000418797
25,35529.2,0.53948,0.37935,0.89858,0.99285,1,0.99431,0.905,0.44416,0.32797,0.85917,0.000403571,0.000403571,0.000403571
26,38550.7,0.52793,0.36557,0.89272,0.99239,0.99608,0.99495,0.89609,0.49291,0.33774,0.87503,0.000388345,0.000388345,0.000388345
27,39139.7,0.54892,0.37878,0.89863,0.9986,0.99683,0.995,0.89669,0.4599,0.3442,0.86708,0.000373119,0.000373119,0.000373119
28,39760,0.5234,0.35931,0.89376,0.98962,0.99559,0.99472,0.90517,0.45213,0.31421,0.86099,0.000357893,0.000357893,0.000357893
29,40388.9,0.51716,0.35326,0.88424,0.99665,0.99304,0.99497,0.88615,0.49732,0.34407,0.86592,0.000342666,0.000342666,0.000342666
30,41026.6,0.50836,0.35177,0.87902,0.99669,1,0.995,0.90654,0.43868,0.31231,0.85512,0.00032744,0.00032744,0.00032744
31,41671.6,0.49518,0.33838,0.87798,0.99521,0.99745,0.99497,0.89611,0.44641,0.30711,0.85183,0.000312214,0.000312214,0.000312214
