epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3332,1.15242,2.67237,1.23726,0.82361,0.47458,0.57815,0.4822,0.76291,2.53499,1.14595,1.538e-05,1.538e-05,1.538e-05
2,22.0356,0.99198,2.50279,1.16896,0.83213,0.50833,0.58026,0.49197,0.7733,2.38145,1.11126,3.76887e-05,3.76887e-05,3.76887e-05
3,32.6765,0.86967,2.45361,1.14154,0.83533,0.50833,0.62086,0.51018,0.87074,2.26103,1.11592,5.90838e-05,5.90838e-05,5.90838e-05
4,43.1416,0.85581,2.05536,1.03074,0.87068,0.53595,0.70762,0.5492,1.04154,2.12137,1.12881,7.95654e-05,7.95654e-05,7.95654e-05
5,53.2755,0.82649,2.12317,1.07998,0.886,0.90833,0.90282,0.6895,1.12567,2.2732,1.16314,9.91333e-05,9.91333e-05,9.91333e-05
6,63.6576,0.84997,1.92393,1.09774,0.62133,0.90833,0.89698,0.69325,1.00905,2.38548,1.1405,0.000117788,0.000117788,0.000117788
7,73.851,0.85436,2.01129,1.06426,0.57709,0.90833,0.92258,0.78557,0.74242,2.53675,1.0874,0.000135529,0.000135529,0.000135529
8,84.3539,0.77079,1.6769,1.01997,0.54747,0.90833,0.91588,0.81247,0.68265,2.64036,1.08081,0.000152356,0.000152356,0.000152356
9,94.6968,0.83963,1.76673,1.06536,0.53049,0.90833,0.8961,0.79138,0.70407,2.91333,1.07857,0.00016827,0.00016827,0.00016827
10,105.178,0.77587,1.85169,1.03816,0.52741,0.90833,0.88215,0.77193,0.71977,3.07285,1.09026,0.00018327,0.00018327,0.00018327
11,115.909,0.85075,1.63428,1.0294,0.48546,0.90833,0.90127,0.7392,0.80116,3.11499,1.06308,0.000197356,0.000197356,0.000197356
12,126.042,0.92465,1.65275,1.11236,0.48967,0.89537,0.90152,0.72813,0.8435,2.84834,1.0507,0.000210529,0.000210529,0.000210529
13,136.364,0.83201,1.77834,1.05934,0.51824,0.85773,0.76311,0.61524,0.84826,2.44685,1.06154,0.000222789,0.000222789,0.000222789
14,146.491,0.71048,1.47596,0.98223,0.54518,0.8888,0.8857,0.70661,0.8082,2.41539,1.05695,0.000234134,0.000234134,0.000234134
